thermal_demand;electricity_price;co2_price;gas_price
0.734959267;193.5;82.25;82.675
0.811307165;240.56;82.25;82.675
0.874140471;273.18;82.25;82.675
0.858741537;300.1;82.25;82.675
0.864534582;292.74;82.25;82.675
0.836334912;275.5;82.25;82.675
0.828508805;258.65;82.25;82.675
0.798134735;245.11;82.25;82.675
0.81364966;232.08;82.25;82.675
0.81112956;234.77;82.25;82.675
0.810175816;240.01;82.25;82.675
0.822593823;255;82.25;82.675
0.790552645;284.82;82.25;82.675
0.811922549;285.97;82.25;82.675
0.781324736;269.03;82.25;82.675
0.792892049;235.25;82.25;82.675
0.758102725;191.5;82.25;82.675
0.707848052;193.69;82.25;82.675
0.672358295;172.18;82.25;82.675
0.65012684;173.14;82.25;79.105
0.636658795;161.69;82.25;79.105
0.630129602;153.58;82.25;79.105
0.624612183;147.07;82.25;79.105
0.630971671;152.47;82.25;79.105
0.652902145;171.26;82.25;79.105
0.668367464;192.03;82.25;79.105
0.70417705;215.24;82.25;79.105
0.727878422;235.9;82.25;79.105
0.768864924;219.99;82.25;79.105
0.779529911;180.08;82.25;79.105
0.796983587;170.16;82.25;79.105
0.779293168;152.53;82.25;79.105
0.771221031;134.13;82.25;79.105
0.738254572;171.01;82.25;79.105
0.742372378;201.59;82.25;79.105
0.763826102;205.38;82.25;79.105
0.718485749;220.3;82.25;79.105
0.724655281;212.76;82.25;79.105
0.702850595;210;82.25;79.105
0.717773538;192.69;82.25;79.105
0.692689638;164.46;82.25;79.105
0.677439276;164.2;82.25;79.105
0.652478255;122.09;82.25;79.105
0.632001594;120.04;82.25;79.105
0.615420993;110.03;82.25;79.105
0.611003796;108.24;82.25;79.105
0.605265791;107.46;82.25;79.105
0.606999267;109.82;82.25;79.105
0.610900348;140.52;82.25;79.105
0.611783075;176.04;82.25;79.105
0.651087332;190.97;82.25;79.105
0.707103921;216.99;82.25;79.105
0.78589007;196.91;82.25;79.105
0.806530025;162.92;82.25;79.105
0.784604498;160.04;81.7;79.105
0.749568945;154.01;81.52;79.105
0.797856881;152.29;81.52;79.105
0.793868511;186.94;81.52;79.105
0.81824958;217.18;81.52;79.105
0.83724805;224.91;81.52;79.105
0.81184099;262;81.52;79.105
0.829859789;260.04;81.52;79.105
0.813732328;234.32;81.52;79.105
0.840701966;215.04;81.52;79.105
0.818450203;204.39;81.52;79.105
0.799729735;194.29;81.52;79.105
0.758022799;184.9;81.52;79.105
0.732862152;222.01;81.52;89.824
0.712823825;205.08;81.52;89.824
0.712273671;194.62;81.52;89.824
0.720559432;182.64;81.52;89.824
0.748754539;187.83;81.52;89.824
0.814926831;190.58;81.52;89.824
0.864316292;190.27;81.52;89.824
0.87914919;204.46;81.52;89.824
0.848099825;212.84;81.52;89.824
0.875648591;230;81.52;89.824
0.842591899;222.39;81.52;89.824
0.825228454;214.92;81.52;89.824
0.815616052;208.43;81.52;89.824
0.849373288;200;81.52;89.824
0.832900497;203.09;81.52;89.824
0.838254;213.98;81.52;89.824
0.861012655;226.32;81.52;89.824
0.844361479;260;81.52;89.824
0.858276393;267.03;81.52;89.824
0.834559533;261.41;81.52;89.824
0.859752407;243.62;81.52;89.824
0.836791047;220.1;81.52;89.824
0.789697747;212.85;81.52;89.824
0.754709167;209.41;81.52;89.824
0.727781778;225.92;81.52;89.824
0.708413897;216;81.52;89.824
0.690793537;189.49;81.52;89.824
0.675161019;181.98;81.52;89.824
0.673450335;174.98;81.52;89.824
0.703258147;165.91;81.52;89.824
0.740443554;118.71;81.52;89.824
